WRM Electrical Spare List ,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,,Unit,Qty (01.02.24),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,MLFB No.,Unit,Qty (01.02.24),Used Location,Capacity,Storage Location,Type,,,,,,,,,,
1,1000227791/ 1000206658,SINAMICS CU320,6SL3040-0MA00-0AA1,PC,8,,,,,,,,,,,,,,
2,1000252640,VSM 10 Sinamics Voltage Sensing Module ,6SL3053-0AA00-3AA0,PC,3,,,,,,,,,,,,,,
3,1000253341,SINAMICS S120 TERMINAL MODULE TM31,6SL3055-0AA00-3AA0,PC,4,,,,,,,,,,,,,,
4,1000262699,DTI Card,6SE7090-0XX84-3DB1,PC,3,,,,,,,,,,,,,,
6,1000227792,"SMC30, SINAMICS SENSOR MODULE CABINET MOUNTED ",6SL3055-0AA00-5CA2,PC,7 + 5 (old),,,,,,,,,,,,,,
7,1000014336,"RELAY;SAFETY,3TK2825-1BB40",3TK2825-1BB40,PC,1,,,,,,,,,,,,,,
8,1000598797,"RELAY;SAFETY,PN:3SK1121-1AB40",3SK1121-1AB40,PC,9,,,,,,,,,,,,,,
9,1000132653,"RELAY,SAFETY,MM:3TK2821-1CB30",3TK2821-1CB30,PC,2,,,,,,,,,,,,,,
10,1000598788,"RELAY;SAFETY, 3SK1211-1BB40",3SK1211-1BB40,PC,24,,,,,,,,,,,,,,
11,1000237996,EARTH FAULT MONITOR FOR UNDERGROUND AC AND DC SYSTEMS TO 690V - 1/N AC 230V - 3AC 0- 690V,IRDH275-435,PC,1,,,,,,,,,,,,,,
12,1000305807,ENCODER; 1PH7911-1BA21-0AA0,1PH7911-1BA21-0AA0,PC,1,,,,,,,,,,,,,,
13,1000303429,"TIMER RELAY,TD;DPCO,0.15-3MIN",3RP15051BW30,PC,3,,,,,,,,,,,,,,
14,1000236334,"OUTPUT INTERFACE TERMINAL CONTACT BLOCK,MM:3TX7002-1FB02",3TX7002-1FB02,PC,11,,,,,,,,,,,,,,
15,1000050339,"SUPPRESSION DIODE,GEGA,TYPE:3RT 1916-1DG00",3RT 1916-1DG00,PC,24,,,,,,,,,,,,,,
15A,,"AUX CIRCUIT SWITCH, 5ST3010",5ST3010,PC,9,,,,,,,,,,,,,,
