material_code,material_details,mlfb_no.,unit,qty_(01.02.24),storage_location,type
1000206658,sinamics cu320,6sl3040-0ma00-0aa1,pc,8,NA,NA
1000252640,vsm 10 sinamics voltage sensing module,6sl3053-0aa00-3aa0,pc,3,NA,NA
1000253341,sinamics s120 terminal module tm31,6sl3055-0aa00-3aa0,pc,4,NA,NA
1000262699,dti card,6se7090-0xx84-3db1,pc,3,NA,NA
1000227792,"smc30, sinamics sensor module cabinet mounted",6sl3055-0aa00-5ca2,pc,0,NA,NA
1000014336,"relay;safety,3tk2825-1bb40",3tk2825-1bb40,pc,1,NA,NA
1000598797,"relay;safety,pn:3sk1121-1ab40",3sk1121-1ab40,pc,9,NA,NA
1000132653,"relay,safety,mm:3tk2821-1cb30",3tk2821-1cb30,pc,2,NA,NA
1000598788,"relay;safety, 3sk1211-1bb40",3sk1211-1bb40,pc,23.5,NA,NA
1000237996,earth fault monitor for underground ac and dc systems to 690v - 1/n ac 230v - 3ac 0- 690v,irdh275-435,pc,1,NA,NA
1000305807,encoder; 1ph7911-1ba21-0aa0,1ph7911-1ba21-0aa0,pc,1,NA,NA
1000303429,"timer relay,td;dpco,0.15-3min",3rp15051bw30,pc,3,NA,NA
1000236334,"output interface terminal contact block,mm:3tx7002-1fb02",3tx7002-1fb02,pc,11,NA,NA
1000050339,"suppression diode,gega,type:3rt 1916-1dg00",3rt 1916-1dg00,pc,23.5,NA,NA
NA,"aux circuit switch, 5st3010",5st3010,pc,9,NA,NA
1000014213,"auxiliary circuit switch,1no,1nc,type:5sx9100",5sx9100,pc,5,NA,NA
1000237022,"output interface terminal,two tier,cat:3tx7004-1bb10",3tx7004-1bb10,pc,16,NA,NA
1000005129,"aux contact block, 1no, siemens",3tx4010-2a,pc,23.5,NA,NA
1000148664,"aux contact block, 1nc, siemens",3tx4001-2a,pc,0,NA,NA
1000254213,"aux contact block, 1no,s0-s3, siemens",3rh19211ca10,pc,23,NA,NA
1000005663,"aux contact block,transverse, 1no+1nc, siemens",3rv1901-1a,pc,4,NA,NA
1000096435,"contact block,transverse, front,1no+1nc,",3rv1901-1e,pc,1,NA,NA
1000323400,"contact block, 2no+2nc, siemens",3rh2911-1ha22,pc,14,NA,NA
1000456602,"contact block, 1no+1nc siemens",3rh2911 1ha11,pc,2,NA,NA
1000097408,"aux contanctor block, 3rh1911-1ga40, 4no,  siemens",3rh1911-1ga40,pc,9,NA,NA
1000205884,"contact block,1no+1nc,3sb54 00-0a",3sb54 00-0a,pc,9,NA,NA
1000146663,"allied transducer, convertor,1000 base x,pn:at-g8sx",at-g8sx,pc,7,NA,NA
1000304458,"power connector, stelmore conveyor drive motor module",6sl3162-2ma00-0aa0,pc,6,NA,NA
1000302300,"surge suppressor, siemens",3tx7402-3ry2,pc,10,NA,NA
1000130235,"surge suppressor, siemens",3tf30-35,pc,9,NA,NA
1000303112,"indicator,light;pn:3sb3400-1pa30",3sb3400-1pa30,pc,10,NA,NA
NA,cable pn:6sl3162-8em00-0aa0,6sl3162-8em00-0aa0,pc,1,NA,NA
1000393890,"connector;female,46x80x70mm,pn:as591-f",as591-f,pc,4,NA,NA
1000301584,surge suppressor; pn:3rt1916-1dg00,3rt1916-1dg00,pc,23.5,NA,NA
1000405043,"ipd for sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 330a rated power: 315kw chassis",6sl3352-3ag33-3aa0,pc,2,NA,NA
1000333128,"ipd for sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 575a rated power: 560kw chassis (st-1,2, sh-1,2)",6sl3352-3ag35-3aa0,pc,4,NA,NA
1000333129,"ipd for sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 735a rated power: 710kw chassis",6sl3352-3ag37-4aa0,pc,7,NA,NA
1000333130,"ipd for sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 1025a rated power: 1000kw chassis (rsm)",6sl3352-3ag41-0aa0,pc,8,NA,NA
1000446906,"ipd for sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 1270a rated power: 1200kw chassis",6sl3352-3ag41-3aa0,pc,4,NA,NA
1000446909,"ipd for sinamics single motor module input: 600v/dc out: 3ph 400v, 490a (sf)",6sl3320-1te35-0aa0,pc,9,NA,NA
1000446908,"ipd for sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 410a rated power: 400kw chassis (lhpr)",6sl3352-3ag34-1aa0,pc,1,NA,NA
1000349039,"ipd for sinamics single motor modules input: 600 v dc output: 3-ph 400 v, 310 a (billet skid & trim shear)",6sl3352-3ae33-1aa0,pc,3,NA,NA
1000333131,"ipd for sinamics s120 smart line module 3ac 380-480v, 50/60hz output: dc 510 - 650v, 1430a rated power (infeed-6,7a,7b)",6sl3330-6te41-7aa3,pc,3,NA,NA
1000348719,"ipd for sinamics single motor modules input: 600 v dc output: 3-ph 400 v, 260 a (chopping shear)",6sl3352-3ae32-6aa0,pc,3,NA,NA
1000333127,"ipd for sinamics s120 smart line module 3ac 500-690v, 50/60hz output: dc 675-930v, 1700a rated power: 1400kw (infeed-1,2,3,5)",6sl 3330-6tg41-7aa0,pc,14,NA,NA
1000445484,"ipd for sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 910a rated power: 900kw chassis",6sl3352-3ag38-8aa0,pc,2,NA,NA
1000405043,"ipd for sinamics  card;330a,1080vac",6sl3352-3ag33-3aa0,pc,1,NA,NA
1000252724,"power supply,pn:6sl39556hx001aa0",6sl39556hx001aa0,pc,2,NA,NA
1000255469,drive-clicq cable 5.0m,6sl3060-4aa50-0aa0,pc,9,NA,NA
1000234763,drive-clicq cable 2.8m,6sl3060-4aj20-0aa0,pc,14,NA,NA
NA,NA,NA,pc,0,NA,NA
1000189376,"sinamics s120 smart line module 3ac 500-690v, 50/60hz output: dc 675-930v, 1700a rated power: 1400kw 
mlfb no- 6sl 3330-6tg41-7aa0",NA,pc,1,NA,NA
1000189367,"sinamics s120 smart line module 3ac 380-480v, 50/60hz output: dc 510 - 650v, 1430a rated power: 800kw 
mlfb no- 6sl3330-6te41-7aa0",NA,pc,0,NA,NA
1000357097,"sinamics s120 smart line module 3ac 380-480v, 50/60hz output: dc 510 - 650v, 1430a rated power: 800kw 
mlfb no- 6sl3330-6te41-7aa3",NA,pc,1,NA,NA
1000227968,"sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 1270a rated power: 1200kw 
mlfb no- 6sl3320-1tg41-3aa0",NA,pc,0,NA,NA
1000420157,"sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 1025a rated power: 1000kw chassis unit 
mlfb no- 6sl3320-1tg41-0aa0",NA,pc,1,NA,NA
1000189381,"sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 910a rated power: 900kw chassis unit
mlfb no- 6sl3320-1tg38-8aa0",NA,pc,1,NA,NA
1000189380,"sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 735a rated power: 710kw chassis unit",NA,pc,0,NA,NA
1000189379,"sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 575a rated power: 560kw chassis unit 
mlfb no- 6sl3320-1tg35-8aa0",NA,pc,0,NA,NA
1000189375,"sinamics single motor module input: 600v/dc out: 3ph 400v,490a
mlfb no- 6sl3320-1te35-0aa0",NA,pc,1,NA,NA
1000189378,"sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 410a rated power: 400kw chassis unit 
mlfb no-6sl3320-1tg34-1aa0",NA,pc,1,NA,NA
1000323909,"drive;bm4145-st0-00300-03, 125a make- baumuller",NA,pc,0,NA,NA
NA,"drive;bm4143-si20-21343-0308-1, 66a, make- baumuller",NA,pc,0,NA,NA
1000189377,"sinamics single motor module input: dc 675-1080v output: 3ac 0-690v, 330a rated power: 315kw chassis unit 
mlfb no- 6sl3320-1tg33-3aa0",NA,pc,1,NA,NA
